Routing,Day 1,Day 2,Day 3
1,EX0016-EX0034,EX0037,EX0008
2,EX0006-EX0025-EX0036-EX0040,EX0010-EX0020-EX0041,EX0009
3,EX0014-EX0035,EX0009,EX0015
4,EX0011-EX0021,EX0026,EX0005-EX0011-EX0019
5,EX0026,EX0007-EX0030,EX0021
6,EX0007-EX0030,EX0005-EX0011-EX0021,EX0026
7,EX0015,EX0019,EX0023-EX0031
8,EX0037,EX0008,EX0016-EX0034
9,EX0005-EX0023-EX0031,EX0006-EX0025-EX0036,EX0014-EX0035
10,EX0008,EX0016-EX0031,EX0006-EX0025-EX0036
11,EX0019,EX0023-EX0034,EX0037
12,EX0010-EX0020-EX0041,EX0014-EX0035,EX0007-EX0030-EX0040
13,EX0009,EX0015-EX0040,EX0010-EX0020-EX0041
